CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup,IneligibleMajors,Notes
AT_LEAST,3,1,CHEM111;CHEM121,,,,
AT_LEAST,3,1,CHEM113;CHEM123,,,,
AT_LEAST,6,1,ENGL109;ENGL112;ENGL113;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156;CORH203,,,,
AT_LEAST,3,1,MATH100;MATH116,,,,
AT_LEAST,3,1,MATH101;MATH103,,,,
AT_LEAST,3,1,PHYS111;PHYS112,,,,
AT_LEAST,3,1,PHYS121;PHYS122,,,,
AT_LEAST,6,1,ELEC,,,,
AT_LEAST,3,2,ASTR210;PHYS225;PHYS305;PHYS314;PHYS320,,,,
AT_LEAST,12,2,MATH200;MATH221;MATH225;MATH317,,,,
AT_LEAST,15,2,PHYS200;PHYS215;PHYS216;PHYS231;PHYS232,,,,
AT_LEAST,3,3,MATH319,,,,
AT_LEAST,12,3,PHYS301;PHYS304;PHYS328;PHYS331,,,,
AT_LEAST,12,4,ELEC_NONSCI,,,,
AT_LEAST,6,4,PHYS449,,,,
AT_LEAST,9,3,PHYS401;PHYS402;PHYS403,,,,
AT_LEAST,3,4,PHYS441,,,,
AT_LEAST,3,3,ELEC_UL_PHYS,,,,
AT_LEAST,3,3,ELEC,,,,
AT_LEAST,9,4,ELEC,,,,
