CreditConstraintType,Credits,Year,Alternatives,ProgramSpecific,ElecGroup
AT_LEAST,3,1,CHEM111;CHEM121,,
AT_LEAST,3,1,CHEM113;CHEM123,,
AT_LEAST,3,1,MATH100,,
AT_LEAST,3,1,MATH101,,
AT_LEAST,6,1,ENGL109;ENGL112;ENGL113;ENGL114;ENGL150;ENGL151;ENGL153;ENGL154;ENGL155;ENGL156;,,
AT_LEAST,3,1,PHYS111;PHYS112,,
AT_LEAST,3,1,PHYS121;PHYS122,,
AT_LEAST,3,1,COSC111,1,
AT_LEAST,3,1,DATA101,1,
AT_LEAST,6,2,MATH200;MATH221,1,
AT_LEAST,3,2,STAT230,1,
AT_LEAST,6,2,ELEC_ART,,
AT_LEAST,6,2,ELEC_2_SCI,,
,,,,,
AT_LEAST,9,2,GEOG108;GEOG109;GEOG200;GEOG207;GEOG213;GEOG222;GEOG272,1,
AT_LEAST,3,2,GEOG108;GEOG109,1,
AT_LEAST,6,2,GEOG108;GEOG109;GEOG200;GEOG207;GEOG213;GEOG222;GEOG272,1,
,,,,,
AT_LEAST,3,3,STAT303,1,
AT_LEAST,9,4,STAT400;STAT401;STAT403;STAT406,1,
AT_LEAST,12,3,DATA311;DATA315;DATA405;DATA407;DATA410;DATA421,1,
AT_LEAST,6,3,MATH303;MATH307;COSC303;COSC304;DATA301;PHYS420,1,
AT_LEAST,12,4,ELEC,,
AT_LEAST,6,4,ELEC_ART,,
AT_LEAST,3,4,ELEC_UL,,
AT_LEAST,9,4,ELEC_UL_GEOG,1,
,,,,,
,129,,,,
